Date,Close,High,Low,Open,Volume
,ASELS.IS,ASELS.IS,ASELS.IS,ASELS.IS,ASELS.IS
2016-01-01,2.014347791671753,2.014347791671753,2.014347791671753,2.014347791671753,0
2016-01-04,2.044198751449585,2.0680794401673785,1.9868845974872242,2.0143477197433692,4181712
2016-01-05,2.070467948913574,2.09076666322627,2.0310645891001466,2.0310645891001466,11664368
2016-01-06,2.0859899520874023,2.0979304099666023,2.0668853105787997,2.071661584828596,4970216
2016-01-07,2.089571952819824,2.0943482266011415,2.0561387195864103,2.0871838159291656,4780336
2016-01-08,2.1253933906555176,2.134945711800778,2.0883781746857957,2.0895722432971158,4234128
2016-01-11,2.167185068130493,2.1755433213858737,2.1206175269960466,2.1253935741082697,4559968
2016-01-12,2.2400219440460205,2.244797991752163,2.1671853376282173,2.16837940649109,7101600
2016-01-13,2.20778226852417,2.2782307212788733,2.2006180847130143,2.2471856211034704,10019312
2016-01-14,2.1767375469207764,2.2388277580701357,2.168379293063235,2.214946837552586,4409768
2016-01-15,2.1624088287353516,2.2018121818250296,2.137333843453575,2.1791253337596697,3582728
2016-01-18,2.140916347503662,2.1934542348567576,2.1373341411800424,2.167185177307544,2773344
2016-01-19,2.1898717880249023,2.2077823621852626,2.146886227843792,2.146886227843792,3791288
2016-01-20,2.142110824584961,2.176737914665544,2.1373345485763977,2.175543845663403,5081352
2016-01-21,2.0764377117156982,2.1504683712363617,2.0513629541694525,2.1456920968016675,4694952
2016-01-22,2.0764377117156982,2.0764377117156982,2.0764377117156982,2.0764377117156982,0
2016-01-25,2.237633466720581,2.237633466720581,2.138528043596588,2.138528043596588,5005752
2016-01-26,2.214946746826172,2.2352454601110328,2.2042003558079912,2.232857550353358,5152824
2016-01-27,2.1898717880249023,2.225692936345623,2.1898717880249023,2.2149465463003453,4454272
2016-01-28,2.1588268280029297,2.2053943694205533,2.1576327592812827,2.201812391000934,4507352
2016-01-29,2.16121506690979,2.1850957592279023,2.16121506690979,2.167185183052985,3732280
2016-02-01,2.146886110305786,2.1683788892196514,2.125393331391921,2.1671848206416264,4470488
2016-02-02,2.155244827270508,2.1898721402628936,2.1409164567356433,2.149274710838538,2523568
2016-02-03,2.16121506690979,2.1791256430847072,2.1409163531794615,2.1552447230212626,4982368
2016-02-04,2.1373343467712402,2.1839021224763444,2.1373343467712402,2.179125846918753,2152456
2016-02-05,2.1373343467712402,2.1528570145880597,2.1289760922908085,2.139722484550036,2335296
2016-02-08,2.0919606685638428,2.1444983282240866,2.088378462236645,2.1373341433150226,3335696
2016-02-09,2.0728557109832764,2.100318605446761,2.023900037289135,2.0895722158314327,3837528
2016-02-10,2.089571952819824,2.1098706608998845,2.0728554500757514,2.0752433592211412,1968480
2016-02-11,2.063303232192993,2.085989850539244,2.03584011208418,2.085989850539244,2159176
2016-02-12,2.045393228530884,2.065691945514931,2.045393228530884,2.06330403532209,1426896
2016-02-15,2.017929792404175,2.0633034902623897,2.0143478141884743,2.0537511687783403,4700768
2016-02-16,2.0000195503234863,2.0441991868669427,2.0000195503234863,2.0239004718732487,2708024
2016-02-17,2.053750991821289,2.053750991821289,1.9701680152286256,2.0000190457623925,3531248
2016-02-18,2.066885232925415,2.074049644030941,2.029870019861329,2.0358401347039843,3560824
2016-02-19,2.053750991821289,2.0680793589401354,2.0215118241859513,2.063303312482283,2433336
2016-02-22,2.08001971244812,2.0967362158306737,2.065691118302161,2.082407849429993,5505920
2016-02-23,2.0991249084472656,2.118229553868659,2.081214331832877,2.0955427020262527,6079848
2016-02-24,2.0967366695404053,2.113453404285546,2.0955426007910862,2.113453404285546,3735256
2016-02-25,2.113452911376953,2.1337516198905724,2.09673618053056,2.09673618053056,2519888
2016-02-26,2.0955421924591064,2.1253932221394085,2.0955421924591064,2.115840901751523,2278264
2016-02-29,2.1050949096679688,2.1098711846349048,2.088378402774344,2.0979307249628905,2063216
2016-03-01,2.148080587387085,2.148080587387085,2.105095021384733,2.1110653654102474,4666448
2016-03-02,2.180319309234619,2.203006156330901,2.161214667809947,2.161214667809947,5799208
2016-03-03,2.1731553077697754,2.2806189817264544,2.1731553077697754,2.1827076292826955,13567624
2016-03-04,2.1624088287353516,2.1767371965432525,2.1194232698210485,2.175543127935044,3538576
2016-03-07,2.1624088287353516,2.191065792096454,2.1480802331821507,2.1767371965432525,2757464
2016-03-08,2.0477805137634277,2.1600204449229925,2.0179294852020213,2.1600204449229925,22170760
2016-03-09,2.0477805137634277,2.0644972446246017,2.0143475075316277,2.059720970737045,9923752
2016-03-10,2.045393228530884,2.065691945514931,2.0418112493689375,2.052557642345514,7994952
2016-03-11,2.054945230484009,2.071661965686236,2.0501691831014672,2.053751389447373,7216184
2016-03-14,2.0525572299957275,2.062109552084179,2.0477809550788404,2.0525572299957275,4211128
2016-03-15,2.0477805137634277,2.068079222294995,2.0477805137634277,2.057332833793267,5592776
2016-03-16,2.053750991821289,2.06688529038935,2.0489747176181474,2.054944832626785,3860776
2016-03-17,2.0728557109832764,2.0776317576204795,2.060915252772323,2.0644974585591984,5384856
2016-03-18,2.113452911376953,2.113452911376953,2.065691083524715,2.072855494349715,9663520
2016-03-21,2.155244827270508,2.1647971502088654,2.0967368208049,2.113453556756033,7627632
2016-03-22,2.1397223472595215,2.1552447863350244,2.1074831725503933,2.1540509452675805,5587096
2016-03-23,2.071662187576294,2.1421106590406525,2.065691843026984,2.137334383401204,6003048
2016-03-24,2.134945869445801,2.134945869445801,2.0549450885424756,2.068079616491554,6366376
2016-03-25,2.155244827270508,2.2077827173041458,2.1540509861803887,2.1839020238309237,14028656
2016-03-28,2.16121506690979,2.1850957592279023,2.1576328605766735,2.158826929354379,2666520
2016-03-29,2.16121506690979,2.1839019181955295,2.158826929354379,2.169573320608396,4923640
2016-03-30,2.174349069595337,2.204200101705621,2.164796748429858,2.173155228726791,7279152
2016-03-31,2.1850953102111816,2.2006179733862576,2.168378806249055,2.177931126762454,5482728
2016-04-01,2.1827080249786377,2.2042005814700407,2.1719616328602607,2.185095934980782,8986880
2016-04-04,2.2256932258605957,2.2328576386529218,2.1886780040815905,2.194648120329859,4306680
2016-04-05,2.234051465988159,2.267484708911042,2.2256932121937725,2.2256932121937725,4401328
2016-04-06,2.244797706604004,2.2567381659706323,2.2352453846597653,2.2364394533709597,3391096
2016-04-07,2.250767707824707,2.278230600769202,2.242409455862929,2.257931891256905,5737088
