Date,Close,High,Low,Open,Volume
,TUPRS.IS,TUPRS.IS,TUPRS.IS,TUPRS.IS,TUPRS.IS
2016-01-01,4.498016834259033,4.498016834259033,4.498016834259033,4.498016834259033,0
2016-01-04,4.588493347167969,4.607881360594665,4.439852054706487,4.459240068133183,6073711
2016-01-05,4.562643527984619,4.614344759859527,4.475397240801735,4.611113351974291,6646717
2016-01-06,4.733903408050537,4.762985644985972,4.523867091458194,4.55941171215627,14576338
2016-01-07,4.889007568359375,4.892238975986641,4.678971249742195,4.717746846980611,14135786
2016-01-08,4.750060558319092,4.943940272943629,4.727441136041177,4.8890076367998905,9787393
2016-01-11,4.73713493347168,4.782373778083305,4.704821719566002,4.704821719566002,7108136
2016-01-12,4.8146867752075195,4.859925617782264,4.711283891363635,4.711283891363635,10769514
2016-01-13,4.918089389801025,4.960096826230017,4.814686933976913,4.834074948372633,14161280
2016-01-14,4.840538024902344,4.9083962946646205,4.782373978575941,4.9083962946646205,7391846
2016-01-15,4.73713493347168,4.8405378219712825,4.720978326518841,4.8405378219712825,7340613
2016-01-18,4.869619369506836,4.885776407030945,4.753291287910694,4.78883633903416,8263787
2016-01-19,4.7565226554870605,4.9019329719763824,4.737134642050456,4.869619328628994,9697093
2016-01-20,4.685433864593506,4.766217333540004,4.685433864593506,4.7371350948902355,8214934
2016-01-21,4.624038219451904,4.7371348987217345,4.60141879731202,4.688665078218776,9756670
2016-01-22,4.624038219451904,4.624038219451904,4.624038219451904,4.624038219451904,0
2016-01-25,4.746829032897949,4.7952992839239394,4.720978203588782,4.743597625305606,11022067
2016-01-26,4.792067527770996,4.798529911056044,4.711283638127128,4.71774645284173,17505810
2016-01-27,4.775910377502441,4.821148785141071,4.7629851798099105,4.785604599343997,10194618
2016-01-28,4.7856059074401855,4.834075735608064,4.769449298050893,4.7856059074401855,10547901
2016-01-29,4.840538024902344,4.86638842453878,4.808224378212377,4.821149578030595,14466410
2016-02-01,4.775910377502441,4.850231019236195,4.746828574836861,4.850231019236195,13103825
2016-02-02,4.708051681518555,4.801760758229775,4.70482070596774,4.775909933816731,11672556
2016-02-03,4.708051681518555,4.769447551285597,4.656350895551474,4.691895078046466,20410901
2016-02-04,4.68220329284668,4.750061136510687,4.672509068649165,4.733904096181496,21063021
2016-02-05,4.617574691772461,4.685432947723319,4.604649494584952,4.685432947723319,16472771
2016-02-08,4.41400146484375,4.6401948232346575,4.407539080972028,4.630501031712278,20488342
2016-02-09,4.478628635406494,4.536792682879401,4.3590691325850255,4.38815137203629,31992688
2016-02-10,4.4818596839904785,4.507710515982173,4.436621267292051,4.488322499845809,18588178
2016-02-11,4.41400146484375,4.498016338042472,4.362300236722009,4.443083702270075,21207487
2016-02-12,4.4495463371276855,4.488321933074319,4.397844679673025,4.443083522088459,17030545
2016-02-15,4.656351566314697,4.6628139497767584,4.3622999601891435,4.468933817323599,26675873
2016-02-16,4.633732318878174,4.733903364866384,4.611112897341307,4.685433545655597,19489323
2016-02-17,4.678971767425537,4.695127944490211,4.6143449020186535,4.6337329184977545,17579317
2016-02-18,4.7112836837768555,4.7274407207199145,4.636963470986576,4.662813867236354,21352149
2016-02-19,4.772679805755615,4.795299227204895,4.717746740194688,4.720978147748811,16972760
2016-02-22,4.798530101776123,4.821149091317127,4.779142088291283,4.814686707775228,12983565
2016-02-23,4.853463172912598,4.856694580690062,4.798530534984528,4.798530534984528,15116395
2016-02-24,4.798530101776123,4.901932984171793,4.772679704749384,4.859925549716379,14508312
2016-02-25,4.811455726623535,4.856694572573215,4.795299550622433,4.817918542167663,10475486
2016-02-26,4.795299530029297,4.859925959474608,4.785605306754736,4.840537944355093,7927255
2016-02-29,4.90516471862793,4.908396126329065,4.788836629964646,4.792068037665781,13610681
2016-03-01,4.901933193206787,4.927783591335874,4.882545178895176,4.892238970336187,6501348
2016-03-02,4.885776519775391,4.953634353224245,4.876082297037221,4.927783524018709,15409212
2016-03-03,4.856694221496582,4.924552054086242,4.81791819389404,4.898701656637599,9807329
2016-03-04,4.859926223754883,4.879314239928708,4.7952997907952195,4.863157631688792,9006788
2016-03-07,4.782373905181885,4.879313980904837,4.775911089657152,4.879313980904837,12352053
2016-03-08,4.895469665527344,4.921320059894452,4.769447806556495,4.782373003740048,18467561
2016-03-09,5.01179838180542,5.01179838180542,4.885776506557242,4.885776506557242,18026393
2016-03-10,5.015030384063721,5.082888225375645,4.914858894643117,5.027955584449413,22218595
2016-03-11,4.960096836090088,5.057036908261392,4.927783622509517,5.040880301471107,13130348
2016-03-14,5.01179838180542,5.015029789376068,4.937477301969274,4.947171524681217,8308279
2016-03-15,4.908395290374756,5.02795433494734,4.895469661771592,5.00856632347212,9753891
2016-03-16,5.005335330963135,5.0085667383816155,4.9148580803934845,4.918089056382404,12223855
2016-03-17,5.124895095825195,5.1475140861266215,5.034417408901148,5.04088022408989,14284249
2016-03-18,5.250916957855225,5.273535948095727,5.131357897192627,5.144282664676128,19180266
2016-03-21,5.250916957855225,5.267073564353977,5.179827716688883,5.199215730773302,14061950
2016-03-22,5.144282341003418,5.237991429373356,5.092581117174481,5.237991429373356,10052658
2016-03-23,5.044112205505371,5.1572088955967885,5.005336172820906,5.1119704784180025,12508132
2016-03-24,5.073193073272705,5.092581086018638,4.95686499679711,5.040879862506002,10779748
2016-03-25,5.086119174957275,5.10227578184073,5.047342714435553,5.073193544306837,2022468
2016-03-28,5.115200996398926,5.134589442432718,5.0796563748628305,5.0796563748628305,3001453
2016-03-29,5.124895095825195,5.157208308909734,5.115200873042082,5.131357911013937,8476545
2016-03-30,5.0990447998046875,5.1830592488974085,5.0990447998046875,5.147514624500915,15982498
2016-03-31,5.128127098083496,5.128127098083496,5.053806009083354,5.105507673729508,12013855
2016-04-01,5.089350700378418,5.134589545842512,5.066731277646371,5.128126730367755,6810195
2016-04-04,5.137820720672607,5.153977328554179,5.082888081303417,5.105507504909465,9615459
2016-04-05,5.092581272125244,5.163670510981743,5.0699618511901114,5.131357730463736,11694641
2016-04-06,5.092581272125244,5.226411451974934,5.074972136927429,5.134842914470141,17680614
2016-04-07,5.064406394958496,5.166539755708116,5.064406394958496,5.127799564066857,8600802
2016-04-08,5.138365745544434,5.152453432370726,5.053841975669263,5.082016408888815,8587544
2016-04-11,5.17006254196167,5.194715523554191,5.1278004221506395,5.148931482056154,9491370
2016-04-12,5.219367504119873,5.23345471794958,5.131320889480826,5.16653962937973,11434864
2016-04-13,5.360240459442139,5.374328143163932,5.222889304885958,5.23345459746089,17189487
2016-04-14,5.413069248199463,5.427156464086688,5.32502356113369,5.360241365743507,7618590
2016-04-15,5.205280303955078,5.423634724804033,5.205280303955078,5.420112803465104,18435550
2016-04-18,5.212324142456055,5.261629630512155,5.173583948191809,5.187671163319771,11283475
2016-04-19,5.219367504119873,5.23697616874469,5.155973866345132,5.226411346142938,12817651
2016-04-20,5.187671184539795,5.233455221663533,5.173583969354209,5.205280321075893,11493083
2016-04-21,5.272195816040039,5.293326875529674,5.20175926455226,5.2158464808065155,11569292
2016-04-22,5.300370216369629,5.3109355100047635,5.258107631179714,5.2651514737474425,9342480
2016-04-25,5.254586219787598,5.310936025364554,5.236977081875988,5.3003707307041905,6912451
2016-04-26,5.279238224029541,5.293325907925112,5.251063796671234,5.282760145003434,6273960
2016-04-27,5.215846538543701,5.303892228878053,5.215846538543701,5.282761169154506,6334160
2016-04-28,5.2369771003723145,5.265152003260303,5.215846510976957,5.229933727312697,10087581
2016-04-29,5.201758861541748,5.251064349719909,5.184149254817617,5.236976664340605,11346083
